PRESIDENT,1,240716,NULL
,,,,,,,,,,
VICE PRESIDENT,1,184171,NULL
,,,,,,,,,,
FULL PROFESSOR,1,140068,NULL
FULL PROFESSOR,2,148055,NULL
FULL PROFESSOR,3,156042,NULL
FULL PROFESSOR,4,164028,NULL
FULL PROFESSOR,5,172016,NULL
FULL PROFESSOR,6,177078,NULL
,,,,,,,,,,
PROFESSOR,1,101447,NULL
PROFESSOR,2,108276,NULL
PROFESSOR,3,115107,NULL
PROFESSOR,4,121935,NULL
PROFESSOR,5,128770,NULL
PROFESSOR,6,135598,FULL PROFESSOR
,,,,,,,,,,
ASSOCIATE PROFESSOR A,1,87548,NULL
ASSOCIATE PROFESSOR A,2,91018,NULL
ASSOCIATE PROFESSOR A,3,94492,NULL
ASSOCIATE PROFESSOR A,4,97988,NULL
ASSOCIATE PROFESSOR A,5,101461,NULL
ASSOCIATE PROFESSOR A,6,104948,NULL
ASSOCIATE PROFESSOR A,7,108430,NULL
ASSOCIATE PROFESSOR A,8,111916,NULL
ASSOCIATE PROFESSOR A,9,115395,PROFESSOR
ASSOCIATE PROFESSOR B (FORMERLY LECTURER),1,62069,NULL
ASSOCIATE PROFESSOR B (FORMERLY LECTURER),2,73093,NULL
ASSOCIATE PROFESSOR B (FORMERLY LECTURER),3,77006,NULL
ASSOCIATE PROFESSOR B (FORMERLY LECTURER),4,79703,NULL
ASSOCIATE PROFESSOR B (FORMERLY LECTURER),5,83634,NULL
ASSOCIATE PROFESSOR B (FORMERLY LECTURER),6,87604,NULL
ASSOCIATE PROFESSOR B (FORMERLY LECTURER),7,91563,NULL
ASSOCIATE PROFESSOR B (FORMERLY LECTURER),8,95514,NULL
ASSOCIATE PROFESSOR B (FORMERLY LECTURER),9,99471,PROFESSOR
,,,,,,,,,,
ASSISTANT PROFESSOR (FORMERLY LECTURER BELOW THE BAR),1,46955,NULL
ASSISTANT PROFESSOR (FORMERLY LECTURER BELOW THE BAR),2,49543,NULL
ASSISTANT PROFESSOR (FORMERLY LECTURER BELOW THE BAR),3,51676,NULL
ASSISTANT PROFESSOR (FORMERLY LECTURER BELOW THE BAR),4,53644,NULL
ASSISTANT PROFESSOR (FORMERLY LECTURER BELOW THE BAR),5,55689,NULL
ASSISTANT PROFESSOR (FORMERLY LECTURER BELOW THE BAR),6,57323,NULL
ASSISTANT PROFESSOR (FORMERLY LECTURER BELOW THE BAR),7,58990,NULL
ASSISTANT PROFESSOR (FORMERLY LECTURER BELOW THE BAR),8,60654,NULL
ASSISTANT PROFESSOR (FORMERLY LECTURER BELOW THE BAR),9,62314,NULL
ASSISTANT PROFESSOR (FORMERLY LECTURER BELOW THE BAR),10,63965,NULL
,,,,,,,,,
TEACHING ASSISTANT,1,37010,NULL
TEACHING ASSISTANT,2,40061,NULL
,,,,,,,,,,
SENIOR ADMINISTRATIVE OFFICER III,1,106800,NULL
SENIOR ADMINISTRATIVE OFFICER III,2,113990,NULL
SENIOR ADMINISTRATIVE OFFICER III,3,121181,NULL
SENIOR ADMINISTRATIVE OFFICER III,4,128369,NULL
SENIOR ADMINISTRATIVE OFFICER III,5,135565,NULL
SENIOR ADMINISTRATIVE OFFICER III,6,142758,NULL
,,,,,,,,,,
SENIOR ADMINISTRATIVE OFFICER II,1,94941,NULL
SENIOR ADMINISTRATIVE OFFICER II,2,98703,NULL
SENIOR ADMINISTRATIVE OFFICER II,3,102487,NULL
SENIOR ADMINISTRATIVE OFFICER II,4,106270,NULL
SENIOR ADMINISTRATIVE OFFICER II,5,110030,NULL
SENIOR ADMINISTRATIVE OFFICER II,6,113810,NULL
SENIOR ADMINISTRATIVE OFFICER II,7,117589,NULL
SENIOR ADMINISTRATIVE OFFICER II,8,121368,NULL
SENIOR ADMINISTRATIVE OFFICER II,9,125140,NULL
,,,,,,,,,,
SENIOR ADMINISTRATIVE OFFICER I,1,67132,NULL
SENIOR ADMINISTRATIVE OFFICER I,2,69712,NULL
SENIOR ADMINISTRATIVE OFFICER I,3,72480,NULL
SENIOR ADMINISTRATIVE OFFICER I,4,75725,NULL
SENIOR ADMINISTRATIVE OFFICER I,5,79088,NULL
SENIOR ADMINISTRATIVE OFFICER I,6,82103,NULL
SENIOR ADMINISTRATIVE OFFICER I,7,86389,NULL
SENIOR ADMINISTRATIVE OFFICER I,8,90697,NULL
SENIOR ADMINISTRATIVE OFFICER I,9,95004,NULL
SENIOR ADMINISTRATIVE OFFICER I,10,99296,NULL
SENIOR ADMINISTRATIVE OFFICER I,11,103583,NULL
SENIOR ADMINISTRATIVE OFFICER I,12,107875,NULL
,,,,,,,,,,
SENIOR EXECUTIVE ADMINISTRATOR,1,58657,NULL
SENIOR EXECUTIVE ADMINISTRATOR,2,60174,NULL
SENIOR EXECUTIVE ADMINISTRATOR,3,61704,NULL
SENIOR EXECUTIVE ADMINISTRATOR,4,63240,NULL
SENIOR EXECUTIVE ADMINISTRATOR,5,64776,NULL
SENIOR EXECUTIVE ADMINISTRATOR,6,66317,NULL
SENIOR EXECUTIVE ADMINISTRATOR,7,68510,NULL
SENIOR EXECUTIVE ADMINISTRATOR,8,72779,NULL
SENIOR EXECUTIVE ADMINISTRATOR,9,77291,NULL
SENIOR EXECUTIVE ADMINISTRATOR,10,79691,NULL
SENIOR EXECUTIVE ADMINISTRATOR,11,83397,NULL
,,,,,,,,,,
EXECUTIVE ADMINISTRATOR,1,44752,NULL
EXECUTIVE ADMINISTRATOR,2,47050,NULL
EXECUTIVE ADMINISTRATOR,3,49360,NULL
EXECUTIVE ADMINISTRATOR,4,51268,NULL
EXECUTIVE ADMINISTRATOR,5,53218,NULL
EXECUTIVE ADMINISTRATOR,6,55306,NULL
EXECUTIVE ADMINISTRATOR,7,57462,NULL
EXECUTIVE ADMINISTRATOR,8,59557,NULL
EXECUTIVE ADMINISTRATOR,9,61263,NULL
EXECUTIVE ADMINISTRATOR,10,62840,NULL
EXECUTIVE ADMINISTRATOR,11,64409,NULL
,,,,,,,,,,
SENIOR ADMINISTRATOR,1,39893,NULL
SENIOR ADMINISTRATOR,2,40785,NULL
SENIOR ADMINISTRATOR,3,42037,NULL
SENIOR ADMINISTRATOR,4,43282,NULL
SENIOR ADMINISTRATOR,5,44546,NULL
SENIOR ADMINISTRATOR,6,45799,NULL
SENIOR ADMINISTRATOR,7,47069,NULL
SENIOR ADMINISTRATOR,8,48336,NULL
SENIOR ADMINISTRATOR,9,49613,NULL
SENIOR ADMINISTRATOR,10,50660,NULL
SENIOR ADMINISTRATOR,11,51944,NULL
SENIOR ADMINISTRATOR,12,53265,NULL
,,,,,,,,,,
ADMINISTRATOR,1,26572,NULL
ADMINISTRATOR,2,27495,NULL
ADMINISTRATOR,3,28629,NULL
ADMINISTRATOR,4,29397,NULL
ADMINISTRATOR,5,30060,NULL
ADMINISTRATOR,6,30830,NULL
ADMINISTRATOR,7,31616,NULL
ADMINISTRATOR,8,32491,NULL
ADMINISTRATOR,9,33224,NULL
ADMINISTRATOR,10,34378,NULL
ADMINISTRATOR,11,35541,NULL
ADMINISTRATOR,12,36715,NULL
ADMINISTRATOR,13,37403,NULL
ADMINISTRATOR,14,38396,NULL
ADMINISTRATOR,15,39212,NULL
ADMINISTRATOR,16,39926,NULL
ADMINISTRATOR,17,40912,NULL
ADMINISTRATOR,18,41892,NULL
,,,,,,,,,,
EPS PORTFOLIO MANAGER,1,86389,NULL
EPS PORTFOLIO MANAGER,2,90698,NULL
EPS PORTFOLIO MANAGER,3,95005,NULL
EPS PORTFOLIO MANAGER,4,99296,NULL
EPS PORTFOLIO MANAGER,5,103583,NULL
EPS PORTFOLIO MANAGER,6,107874,NULL
,,,,,,,,,,
EPS CATEGORY MANAGER,1,67131,NULL
EPS CATEGORY MANAGER,2,69712,NULL
EPS CATEGORY MANAGER,3,72480,NULL
EPS CATEGORY MANAGER,4,75725,NULL
EPS CATEGORY MANAGER,5,79087,NULL
EPS CATEGORY MANAGER,6,82103,NULL
EPS CATEGORY MANAGER,7,86389,NULL
EPS CATEGORY MANAGER,8,90698,NULL
,,,,,,,,,,
EPS CATEGORY SPECIALIST HIGHER,1,58656,NULL
EPS CATEGORY SPECIALIST HIGHER,2,60174,NULL
EPS CATEGORY SPECIALIST HIGHER,3,61704,NULL
EPS CATEGORY SPECIALIST HIGHER,4,63240,NULL
EPS CATEGORY SPECIALIST HIGHER,5,64775,NULL
EPS CATEGORY SPECIALIST HIGHER,6,66318,NULL
EPS CATEGORY SPECIALIST HIGHER,7,68510,NULL
EPS CATEGORY SPECIALIST HIGHER,8,72779,NULL
,,,,,,,,,,
EPS CATEGORY SPECIALIST,1,44752,NULL
EPS CATEGORY SPECIALIST,2,47047,NULL
EPS CATEGORY SPECIALIST,3,49360,NULL
EPS CATEGORY SPECIALIST,4,51269,NULL
EPS CATEGORY SPECIALIST,5,53219,NULL
EPS CATEGORY SPECIALIST,6,55306,NULL
EPS CATEGORY SPECIALIST,7,57462,NULL
EPS CATEGORY SPECIALIST,8,59558,NULL
,,,,,,,,,,
SUB LIBRARIAN,1,64830,NULL
SUB LIBRARIAN,2,68413,NULL
SUB LIBRARIAN,3,71505,NULL
SUB LIBRARIAN,4,74734,NULL
SUB LIBRARIAN,5,77824,NULL
SUB LIBRARIAN,6,80106,NULL
SUB LIBRARIAN,7,83065,NULL
SUB LIBRARIAN,8,86613,NULL
SUB LIBRARIAN,9,90308,NULL
SUB LIBRARIAN,10,93715,NULL
SUB LIBRARIAN,11,97127,NULL
SUB LIBRARIAN,12,100531,NULL
SUB LIBRARIAN,13,102234,NULL
SUB LIBRARIAN,14,104052,NULL
SUB LIBRARIAN,15,106850,NULL
,,,,,,,,,,
,,,,,,,,,,
ASSISTANT LIBRARIAN 2,1,58657,NULL
ASSISTANT LIBRARIAN 2,2,60174,NULL
ASSISTANT LIBRARIAN 2,3,61704,NULL
ASSISTANT LIBRARIAN 2,4,63240,NULL
ASSISTANT LIBRARIAN 2,5,64776,NULL
ASSISTANT LIBRARIAN 2,6,66317,NULL
ASSISTANT LIBRARIAN 2,7,68510,NULL
ASSISTANT LIBRARIAN 2,8,72779,NULL
ASSISTANT LIBRARIAN 2,9,77291,NULL
ASSISTANT LIBRARIAN 2,10,79691,NULL
ASSISTANT LIBRARIAN 2,11,83397,NULL
,,,,,,,,,,
ASSISTANT LIBRARIAN 1,1,44751,NULL
ASSISTANT LIBRARIAN 1,2,47050,NULL
ASSISTANT LIBRARIAN 1,3,49364,NULL
ASSISTANT LIBRARIAN 1,4,51269,NULL
ASSISTANT LIBRARIAN 1,5,53605,NULL
ASSISTANT LIBRARIAN 1,6,55126,NULL
ASSISTANT LIBRARIAN 1,7,56632,NULL
ASSISTANT LIBRARIAN 1,8,57745,NULL
ASSISTANT LIBRARIAN 1,9,59104,NULL
ASSISTANT LIBRARIAN 1,10,60468,NULL
ASSISTANT LIBRARIAN 1,11,61415,NULL
ASSISTANT LIBRARIAN 1,12,62371,NULL
ASSISTANT LIBRARIAN 1,13,64409,NULL
ASSISTANT LIBRARIAN 1,14,66805,NULL
ASSISTANT LIBRARIAN 1,15,69293,NULL
,,,,,,,,,,
SENIOR LIBRARY ASSISTANT,1,39337,NULL
SENIOR LIBRARY ASSISTANT,2,39808,NULL
SENIOR LIBRARY ASSISTANT,3,40882,NULL
SENIOR LIBRARY ASSISTANT,4,41881,NULL
SENIOR LIBRARY ASSISTANT,5,42439,NULL
SENIOR LIBRARY ASSISTANT,6,44325,NULL
SENIOR LIBRARY ASSISTANT,7,45156,NULL
SENIOR LIBRARY ASSISTANT,8,46242,NULL
SENIOR LIBRARY ASSISTANT,9,47587,NULL
SENIOR LIBRARY ASSISTANT,10,48932,NULL
SENIOR LIBRARY ASSISTANT,11,50539,NULL
SENIOR LIBRARY ASSISTANT,12,51945,NULL
SENIOR LIBRARY ASSISTANT,13,53657,NULL
,,,,,,,,,,
LIBRARY ASSISTANT,1,33703,NULL
LIBRARY ASSISTANT,2,35429,NULL
LIBRARY ASSISTANT,3,36934,NULL
LIBRARY ASSISTANT,4,37881,NULL
LIBRARY ASSISTANT,5,39133,NULL
LIBRARY ASSISTANT,6,40055,NULL
LIBRARY ASSISTANT,7,41318,NULL
LIBRARY ASSISTANT,8,43868,NULL
LIBRARY ASSISTANT,9,45138,NULL
LIBRARY ASSISTANT,10,45798,NULL
,,,,,,,,,,
LIBRARY ATTENDANT,1,33403,NULL
LIBRARY ATTENDANT,2,34054,NULL
LIBRARY ATTENDANT,3,36605,NULL
LIBRARY ATTENDANT,4,36966,NULL
LIBRARY ATTENDANT,5,36989,NULL
LIBRARY ATTENDANT,6,37352,NULL
LIBRARY ATTENDANT,7,37714,NULL
LIBRARY ATTENDANT,8,38072,NULL
LIBRARY ATTENDANT,9,38428,NULL
LIBRARY ATTENDANT,10,38443,NULL
LIBRARY ATTENDANT,11,38970,NULL
LIBRARY ATTENDANT,12,39512,NULL
LIBRARY ATTENDANT,13,40039,NULL
LIBRARY ATTENDANT,14,40230,NULL
,,,,,,,,,,
ANALYST PROGRAMMER 3,1,67132,NULL
ANALYST PROGRAMMER 3,2,79088,NULL
ANALYST PROGRAMMER 3,3,82103,NULL
ANALYST PROGRAMMER 3,4,86389,NULL
ANALYST PROGRAMMER 3,5,90697,NULL
ANALYST PROGRAMMER 3,6,95004,NULL
ANALYST PROGRAMMER 3,7,99296,NULL
ANALYST PROGRAMMER 3,8,103583,NULL
ANALYST PROGRAMMER 3,9,107875,NULL
,,,,,,,,,,
ANALYST PROGRAMMER 2,1,53677,NULL
ANALYST PROGRAMMER 2,2,55287,NULL
ANALYST PROGRAMMER 2,3,56903,NULL
ANALYST PROGRAMMER 2,4,58501,NULL
ANALYST PROGRAMMER 2,5,60116,NULL
ANALYST PROGRAMMER 2,6,61717,NULL
ANALYST PROGRAMMER 2,7,64375,NULL
ANALYST PROGRAMMER 2 Long Service -3 yrs,8,66805,NULL
ANALYST PROGRAMMER 2 Long Service -6 yrs,9,69293,NULL
,,,,,,,,,,
ANALYST PROGRAMMER 1,1,42012,NULL
ANALYST PROGRAMMER 1,2,44629,NULL
ANALYST PROGRAMMER 1,3,46172,NULL
ANALYST PROGRAMMER 1,4,47611,NULL
ANALYST PROGRAMMER 1,5,49079,NULL
ANALYST PROGRAMMER 1,6,50543,NULL
ANALYST PROGRAMMER 1,7,52039,NULL
ANALYST PROGRAMMER 1,8,53562,NULL
ANALYST PROGRAMMER 1 Long Service Increment -3 yrs,9,56116,NULL
ANALYST PROGRAMMER 1 Long Service Increment -6 yrs,10,58164,NULL
,,,,,,,,,,
SENIOR COMPUTER OPERATOR Long Service Increment -3 yrs,1,42214,NULL
SENIOR COMPUTER OPERATOR Long Service Increment -6 yrs,1,42214,NULL
SENIOR COMPUTER OPERATOR,3,45475,NULL
SENIOR COMPUTER OPERATOR,4,46768,NULL
SENIOR COMPUTER OPERATOR,5,48067,NULL
SENIOR COMPUTER OPERATOR,6,49369,NULL
SENIOR COMPUTER OPERATOR,7,50686,NULL
SENIOR COMPUTER OPERATOR,8,51968,NULL
SENIOR COMPUTER OPERATOR,9,53657,NULL
SENIOR COMPUTER OPERATOR,10,55570,NULL
,,,,,,,,,,
COMPUTER OPERATOR,1,33403,NULL
COMPUTER OPERATOR,2,35114,NULL
COMPUTER OPERATOR,3,36604,NULL
COMPUTER OPERATOR,4,37881,NULL
COMPUTER OPERATOR,5,39133,NULL
COMPUTER OPERATOR,6,40054,NULL
COMPUTER OPERATOR,7,41318,NULL
COMPUTER OPERATOR,8,42586,NULL
COMPUTER OPERATOR,9,43868,NULL
COMPUTER OPERATOR,10,45138,NULL
,,,,,,,,,,
PRINT OPERATOR 2,1,31238,NULL
PRINT OPERATOR 2,2,32320,NULL
PRINT OPERATOR 2,3,33844,NULL
PRINT OPERATOR 2,4,35403,NULL
PRINT OPERATOR 2,5,36946,NULL
PRINT OPERATOR 2,6,38331,NULL
PRINT OPERATOR 2,7,39365,NULL
PRINT OPERATOR 2,8,40749,NULL
PRINT OPERATOR 2,9,42093,NULL
PRINT OPERATOR 2,10,43223,NULL
PRINT OPERATOR 2,11,44373,NULL
,,,,,,,,,,
PRINT OPERATOR 1,1,29021,NULL
PRINT OPERATOR 1,2,30996,NULL
PRINT OPERATOR 1,3,31738,NULL
PRINT OPERATOR 1,4,32768,NULL
PRINT OPERATOR 1,5,34232,NULL
PRINT OPERATOR 1,6,35719,NULL
PRINT OPERATOR 1,7,37208,NULL
PRINT OPERATOR 1,8,38553,NULL
,,,,,,,,,,
COMPUTER LAB ATTENDANT,1,33403,NULL
COMPUTER LAB ATTENDANT,2,34543,NULL
COMPUTER LAB ATTENDANT,3,36605,NULL
COMPUTER LAB ATTENDANT,4,36967,NULL
COMPUTER LAB ATTENDANT,5,36987,NULL
COMPUTER LAB ATTENDANT,6,37353,NULL
COMPUTER LAB ATTENDANT,7,37714,NULL
COMPUTER LAB ATTENDANT,8,38072,NULL
COMPUTER LAB ATTENDANT,9,38428,NULL
,,,,,,,,,,
TEMPORARY COMPUTER ASSISTANT,1,33403,NULL
TEMPORARY COMPUTER ASSISTANT,2,34543,NULL
TEMPORARY COMPUTER ASSISTANT,3,36605,NULL
TEMPORARY COMPUTER ASSISTANT,4,36967,NULL
TEMPORARY COMPUTER ASSISTANT,5,36987,NULL
TEMPORARY COMPUTER ASSISTANT,6,37353,NULL
TEMPORARY COMPUTER ASSISTANT,7,37714,NULL
TEMPORARY COMPUTER ASSISTANT,8,38072,NULL
TEMPORARY COMPUTER ASSISTANT,9,38428,NULL
,,,,,,,,,,
CHIEF TECHNICAL OFFICER,1,64838,NULL
CHIEF TECHNICAL OFFICER,2,67536,NULL
CHIEF TECHNICAL OFFICER,3,70205,NULL
CHIEF TECHNICAL OFFICER,4,72948,NULL
CHIEF TECHNICAL OFFICER,5,75821,NULL
CHIEF TECHNICAL OFFICER,6,78621,NULL
,
TECHNICAL OFFICER,1,39828,NULL
TECHNICAL OFFICER,2,41606,NULL
TECHNICAL OFFICER,3,43745,NULL
TECHNICAL OFFICER,4,45033,NULL
TECHNICAL OFFICER,5,46408,NULL
TECHNICAL OFFICER,6,49325,NULL
TECHNICAL OFFICER,7,51251,NULL
TECHNICAL OFFICER,8,53228,NULL
TECHNICAL OFFICER,9,55376,NULL
TECHNICAL OFFICER,10,57459,NULL
,
SENIOR TECHNICAL OFFICER,11,60654,NULL
SENIOR TECHNICAL OFFICER,12,62799,NULL
SENIOR TECHNICAL OFFICER,13,65107,NULL
SENIOR TECHNICAL OFFICER,14,67470,NULL
SENIOR TECHNICAL OFFICER,15,69827,NULL
SENIOR TECHNICAL OFFICER Long Service Increment - 3 yrs,16,71290,NULL
,,,,,,,,,,
SENIOR LAB ATTENDANT,1,38443,NULL
SENIOR LAB ATTENDANT,2,38970,NULL
SENIOR LAB ATTENDANT,3,39512,NULL
SENIOR LAB ATTENDANT,4,40040,NULL
SENIOR LAB ATTENDANT,5,40229,NULL
,,,,,,,,,,
LABORATORY ATTENDANT,1,33403,NULL
LABORATORY ATTENDANT,2,34543,NULL
LABORATORY ATTENDANT,3,36604,NULL
LABORATORY ATTENDANT,4,36966,NULL
LABORATORY ATTENDANT,5,36989,NULL
LABORATORY ATTENDANT,6,37352,NULL
LABORATORY ATTENDANT,7,37714,NULL
LABORATORY ATTENDANT,8,38072,NULL
LABORATORY ATTENDANT,9,38429,NULL
,,,,,,,,,,
,,,,,,,,,,
SEN PORTER/ATTENDANT,1,41472,NULL
SEN PORTER/ATTENDANT,2,41678,NULL
SEN PORTER/ATTENDANT,3,41873,NULL
SEN PORTER/ATTENDANT,4,41984,NULL
SEN PORTER/ATTENDANT,5,42103,NULL
SEN PORTER/ATTENDANT,6,42213,NULL
SEN PORTER/ATTENDANT,7,42325,NULL
SEN PORTER/ATTENDANT,8,42445,NULL
SEN PORTER/ATTENDANT,9,42563,NULL
SEN PORTER/ATTENDANT,10,42689,NULL
SEN PORTER/ATTENDANT,11,42813,NULL
SEN PORTER/ATTENDANT,12,42936,NULL
SEN PORTER/ATTENDANT,13,43069,NULL
,,,,,,,,,,
PORTER/ATTENDANT,1,36456,NULL
PORTER/ATTENDANT,2,37227,NULL
PORTER/ATTENDANT,3,39454,NULL
PORTER/ATTENDANT,4,39644,NULL
PORTER/ATTENDANT,5,39821,NULL
PORTER/ATTENDANT,6,39919,NULL
PORTER/ATTENDANT,7,40032,NULL
PORTER/ATTENDANT,8,40032,NULL
PORTER/ATTENDANT,9,40032,NULL
PORTER/ATTENDANT,10,40032,NULL
PORTER/ATTENDANT,11,40099,NULL
PORTER/ATTENDANT,12,40214,NULL
PORTER/ATTENDANT,13,40327,NULL
PORTER/ATTENDANT,14,40440,NULL
PORTER/ATTENDANT,15,40552,NULL
,,,,,,,,,,
GROUNDS SUPERVISOR,1,40712,NULL
GROUNDS SUPERVISOR,2,40895,NULL
GROUNDS SUPERVISOR,3,41086,NULL
GROUNDS SUPERVISOR,4,41188,NULL
GROUNDS SUPERVISOR,5,41295,NULL
GROUNDS SUPERVISOR,6,41402,NULL
GROUNDS SUPERVISOR,7,41498,NULL
GROUNDS SUPERVISOR,8,41609,NULL
GROUNDS SUPERVISOR,9,41720,NULL
GROUNDS SUPERVISOR,10,41828,NULL
GROUNDS SUPERVISOR,11,41944,NULL
GROUNDS SUPERVISOR,12,42060,NULL
GROUNDS SUPERVISOR,13,42165,NULL
,,,,,,,,,,
GROUNDSWORKPERSON,1,35063,NULL
GROUNDSWORKPERSON,2,35795,NULL
GROUNDSWORKPERSON,3,38451,NULL
GROUNDSWORKPERSON,4,38637,NULL
GROUNDSWORKPERSON,5,38810,NULL
GROUNDSWORKPERSON,6,38906,NULL
GROUNDSWORKPERSON,7,39009,NULL
GROUNDSWORKPERSON,8,39104,NULL
GROUNDSWORKPERSON,9,39206,NULL
GROUNDSWORKPERSON,10,39304,NULL
GROUNDSWORKPERSON,11,39415,NULL
GROUNDSWORKPERSON,12,39522,NULL
GROUNDSWORKPERSON,13,39632,NULL
GROUNDSWORKPERSON,14,39744,NULL
GROUNDSWORKPERSON,15,39861,NULL
,,,,,,,,,,
SENIOR AIDE,1,40827,NULL
SENIOR AIDE,2,41026,NULL
SENIOR AIDE,3,41209,NULL
SENIOR AIDE,4,41317,NULL
SENIOR AIDE,5,41420,NULL
SENIOR AIDE,6,41534,NULL
SENIOR AIDE,7,41635,NULL
SENIOR AIDE,8,41745,NULL
SENIOR AIDE,9,41859,NULL
SENIOR AIDE,10,41975,NULL
SENIOR AIDE,11,42089,NULL
SENIOR AIDE,12,42206,NULL
SENIOR AIDE,13,42318,NULL
,,,,,,,,,,
GROUNDSWORKPERSON,1,35829,NULL
MACHINE ATTENDANT,2,36585,NULL
MACHINE ATTENDANT,3,39300,NULL
MACHINE ATTENDANT,4,39493,NULL
MACHINE ATTENDANT,5,39671,NULL
MACHINE ATTENDANT,6,39864,NULL
MACHINE ATTENDANT,7,39874,NULL
MACHINE ATTENDANT,8,39979,NULL
MACHINE ATTENDANT,9,40085,NULL
MACHINE ATTENDANT,10,40085,NULL
MACHINE ATTENDANT,11,40085,NULL
MACHINE ATTENDANT,12,40085,NULL
MACHINE ATTENDANT,13,40172,NULL
MACHINE ATTENDANT,14,40286,NULL
MACHINE ATTENDANT,15,40401,NULL
,,,,,,,,,,
SERVICE STAFF,1,35974,NULL
SERVICE STAFF,2,36736,NULL
SERVICE STAFF,3,39461,NULL
SERVICE STAFF,4,39657,NULL
SERVICE STAFF,5,39836,NULL
SERVICE STAFF,6,39933,NULL
SERVICE STAFF,7,40040,NULL
SERVICE STAFF,8,40040,NULL
SERVICE STAFF,9,40040,NULL
SERVICE STAFF,10,40040,NULL
SERVICE STAFF,11,40113,NULL
SERVICE STAFF,13,40336,NULL
SERVICE STAFF,12,40226,NULL
SERVICE STAFF,14,40451,NULL
SERVICE STAFF,15,40566,NULL
,,,,,,,,,,
SERVICE STAFF SHIFT,1,37129,NULL
SERVICE STAFF SHIFT,2,37898,NULL
SERVICE STAFF SHIFT,3,40388,NULL
SERVICE STAFF SHIFT,4,40578,NULL
SERVICE STAFF SHIFT,5,40761,NULL
SERVICE STAFF SHIFT,6,40861,NULL
SERVICE STAFF SHIFT,7,40973,NULL
SERVICE STAFF SHIFT,7,40973,NULL
SERVICE STAFF SHIFT,8,41074,NULL
SERVICE STAFF SHIFT,9,41179,NULL
SERVICE STAFF SHIFT,10,41284,NULL
SERVICE STAFF SHIFT,11,41392,NULL
SERVICE STAFF SHIFT,12,41506,NULL
SERVICE STAFF SHIFT,13,41613,NULL
SERVICE STAFF SHIFT,14,41733,NULL
SERVICE STAFF SHIFT,15,41846,NULL
,,,,,,,,,,
PLANT MAINTENANCE AIDE,1,40053,NULL
PLANT MAINTENANCE AIDE,2,43995,NULL
,,,,,,,,,,
GROUNDS FOREPERSON,1,49333,NULL
GROUNDS FOREPERSON,2,50369,NULL
GROUNDS FOREPERSON,3,51204,NULL
GROUNDS FOREPERSON,4,52137,NULL
GROUNDS FOREPERSON,5,53117,NULL
GROUNDS FOREPERSON,6,54078,NULL
,,,,,,,,,,
TEACHING FELLOW,1,62069,NULL
TEACHING FELLOW,2,73092,NULL
TEACHING FELLOW,3,77007,NULL
TEACHING FELLOW,4,79703,NULL
TEACHING FELLOW,5,83634,NULL
TEACHING FELLOW,6,87605,NULL
TEACHING FELLOW,7,91562,NULL
TEACHING FELLOW,8,95514,NULL
TEACHING FELLOW,9,99471,NULL
,,,,,,,,,,
UNIVERSITY TEACHER,1,46955,NULL
UNIVERSITY TEACHER,2,49543,NULL
UNIVERSITY TEACHER,3,51676,NULL
UNIVERSITY TEACHER,4,53644,NULL
UNIVERSITY TEACHER,5,55689,NULL
UNIVERSITY TEACHER,6,57323,NULL
UNIVERSITY TEACHER,7,58990,NULL
UNIVERSITY TEACHER,8,60654,NULL
UNIVERSITY TEACHER,9,62314,NULL
UNIVERSITY TEACHER,10,63965,NULL
,,,,,,,,,,
ASSOCIATE TEACHER,1,37008,NULL
ASSOCIATE TEACHER,2,39126,NULL
ASSOCIATE TEACHER,3,40060,NULL
ASSOCIATE TEACHER,4,41945,NULL
ASSOCIATE TEACHER,5,43130,NULL
ASSOCIATE TEACHER,6,44464,NULL
ASSOCIATE TEACHER,7,45716,NULL
ASSOCIATE TEACHER,8,46978,NULL
ASSOCIATE TEACHER,9,47948,NULL
ASSOCIATE TEACHER,10,50419,NULL
,,,,,,,,,,
,,,,,,,,,,
THERAPIES REGIONAL SUPERVISORS,1,62038,NULL
REGIONAL PLACEMENT FACILITATOR,2,63360,NULL
REGIONAL PLACEMENT FACILITATOR,3,64724,NULL
REGIONAL PLACEMENT FACILITATOR,4,66076,NULL
REGIONAL PLACEMENT FACILITATOR,5,67430,NULL
REGIONAL PLACEMENT FACILITATOR,6,68853,NULL
REGIONAL PLACEMENT FACILITATOR,7,70352,NULL
REGIONAL PLACEMENT FACILITATOR,8,71848,NULL
REGIONAL PLACEMENT FACILITATOR,9,73048,NULL
,,,,,,,,,,
CLINICAL TUTOR,1,66452,NULL
CLINICAL TUTOR,2,69009,NULL
CLINICAL TUTOR,3,71509,NULL
CLINICAL TUTOR,4,73344,NULL
CLINICAL TUTOR,5,75794,NULL
CLINICAL TUTOR,6,78252,NULL
,,,,,,,,,,
CLINICAL FELLOW,1,74499,NULL
CLINICAL FELLOW,2,76258,NULL
CLINICAL FELLOW,3,78804,NULL
CLINICAL FELLOW,4,81095,NULL
CLINICAL FELLOW,6,88562,NULL
CLINICAL FELLOW,7,92294,NULL
CLINICAL FELLOW,5,84824,NULL

ULAC,,,,,,,,,,
based on 40hr week,,,,,,,,,,